#,Name,Japanese_Name,Type 1,Type 2,Total,HP,Attack,Speed,Defense,Happiness,Sp. Atk,Sp. Def,Legendary,Generation,Classfication,Capture_Rate,Egg_Steps,Experience_Growth,Height_M,Weight_Kg,Percentage_Male,Abilities
1,Bulbasaur,Fushigidaneフシギダネ,Grass,Poison,318,45,49,45,49,70,65,65,FALSE,1,Seed Pokémon,45,5120,1059860,0.7,6.9,88.1,"['Overgrow', 'Chlorophyll']"
2,Ivysaur,Fushigisouフシギソウ,Grass,Poison,405,60,62,60,63,70,80,80,FALSE,1,Seed Pokémon,45,5120,1059860,1,13,88.1,"['Overgrow', 'Chlorophyll']"
3,Venusaur,Fushigibanaフシギバナ,Grass,Poison,525,80,82,80,83,70,100,100,FALSE,1,Seed Pokémon,45,5120,1059860,2,100,88.1,"['Overgrow', 'Chlorophyll']"
4,Charmander,Hitokageヒトカゲ,Fire,,309,39,52,65,43,70,60,50,FALSE,1,Lizard Pokémon,45,5120,1059860,0.6,8.5,88.1,"['Blaze', 'Solar Power']"
5,Charmeleon,Lizardoリザード,Fire,,405,58,64,80,58,70,80,65,FALSE,1,Flame Pokémon,45,5120,1059860,1.1,19,88.1,"['Blaze', 'Solar Power']"
6,Charizard,Lizardonリザードン,Fire,Flying,534,78,84,100,78,70,109,85,FALSE,1,Flame Pokémon,45,5120,1059860,1.7,90.5,88.1,"['Blaze', 'Solar Power']"
7,Squirtle,Zenigameゼニガメ,Water,,314,44,48,43,65,70,50,64,FALSE,1,Tiny Turtle Pokémon,45,5120,1059860,0.5,9,88.1,"['Torrent', 'Rain Dish']"
8,Wartortle,Kameilカメール,Water,,405,59,63,58,80,70,65,80,FALSE,1,Turtle Pokémon,45,5120,1059860,1,22.5,88.1,"['Torrent', 'Rain Dish']"
9,Blastoise,Kamexカメックス,Water,,530,79,83,78,100,70,85,105,FALSE,1,Shellfish Pokémon,45,5120,1059860,1.6,85.5,88.1,"['Torrent', 'Rain Dish']"
10,Caterpie,Caterpieキャタピー,Bug,,195,45,30,45,35,70,20,20,FALSE,1,Worm Pokémon,255,3840,1000000,0.3,2.9,50,"['Shield Dust', 'Run Away']"
11,Metapod,Transelトランセル,Bug,,205,50,20,30,55,70,25,25,FALSE,1,Cocoon Pokémon,120,3840,1000000,0.7,9.9,50,['Shed Skin']
12,Butterfree,Butterfreeバタフリー,Bug,Flying,395,60,45,70,50,70,90,80,FALSE,1,Butterfly Pokémon,45,3840,1000000,1.1,32,50,"['Compoundeyes', 'Tinted Lens']"
13,Weedle,Beedleビードル,Bug,Poison,195,40,35,50,30,70,20,20,FALSE,1,Hairy Pokémon,255,3840,1000000,0.3,3.2,50,"['Shield Dust', 'Run Away']"
14,Kakuna,Cocoonコクーン,Bug,Poison,205,45,25,35,50,70,25,25,FALSE,1,Cocoon Pokémon,120,3840,1000000,0.6,10,50,['Shed Skin']
15,Beedrill,Spearスピアー,Bug,Poison,395,65,90,75,40,70,45,80,FALSE,1,Poison Bee Pokémon,45,3840,1000000,1,29.5,50,"['Swarm', 'Sniper']"
16,Pidgey,Poppoポッポ,Normal,Flying,251,40,45,56,40,70,35,35,FALSE,1,Tiny Bird Pokémon,255,3840,1059860,0.3,1.8,50,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
17,Pidgeotto,Pigeonピジョン,Normal,Flying,349,63,60,71,55,70,50,50,FALSE,1,Bird Pokémon,120,3840,1059860,1.1,30,50,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
18,Pidgeot,Pigeotピジョット,Normal,Flying,479,83,80,101,75,70,70,70,FALSE,1,Bird Pokémon,45,3840,1059860,1.5,39.5,50,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
